variant,run,miss_dist,result,ins_seed
NDI,0,3.4630,"CPA PASSED  t=5.346s  min_dist=3.46m  pos=(4932, 1859, 10000m)",1826701615
NDI,1,2.7184,"CPA PASSED  t=5.341s  min_dist=2.72m  pos=(4931, 1864, 10001m)",1367864807
NDI,2,0.6858,"CPA PASSED  t=5.327s  min_dist=0.69m  pos=(4934, 1860, 10000m)",1097657232
NDI,3,1.2805,"CPA PASSED  t=5.348s  min_dist=1.28m  pos=(4930, 1864, 10000m)",579362556
NDI,4,0.9607,"CPA PASSED  t=5.348s  min_dist=0.96m  pos=(4931, 1862, 10000m)",661058652
NDI,5,0.7230,"CPA PASSED  t=5.345s  min_dist=0.72m  pos=(4930, 1863, 10000m)",87989972
NDI,6,0.5954,"CPA PASSED  t=5.348s  min_dist=0.60m  pos=(4930, 1862, 10000m)",161576974
NDI,7,2.8898,"CPA PASSED  t=5.352s  min_dist=2.89m  pos=(4931, 1861, 9999m)",35492827
NDI,8,1.2941,"CPA PASSED  t=5.348s  min_dist=1.29m  pos=(4931, 1862, 10000m)",376383645
NDI,9,0.8241,"CPA PASSED  t=5.337s  min_dist=0.82m  pos=(4932, 1860, 10001m)",1746484540
NDI,10,0.5705,"CPA PASSED  t=5.329s  min_dist=0.57m  pos=(4934, 1860, 10000m)",1394609703
NDI,11,0.7081,"CPA PASSED  t=5.336s  min_dist=0.71m  pos=(4933, 1860, 10001m)",1960127676
NDI,12,1.4949,"CPA PASSED  t=5.332s  min_dist=1.49m  pos=(4934, 1861, 10001m)",1081530687
NDI,13,0.9622,"CPA PASSED  t=5.327s  min_dist=0.96m  pos=(4934, 1860, 10001m)",1302740408
NDI,14,1.4740,"CPA PASSED  t=5.338s  min_dist=1.47m  pos=(4932, 1862, 10000m)",2084654370
NDI,15,0.9070,"CPA PASSED  t=5.337s  min_dist=0.91m  pos=(4933, 1860, 10000m)",1566581935
NDI,16,1.1892,"CPA PASSED  t=5.333s  min_dist=1.19m  pos=(4933, 1861, 10001m)",1357791199
NDI,17,0.5796,"CPA PASSED  t=5.332s  min_dist=0.58m  pos=(4933, 1860, 10000m)",1167425779
NDI,18,0.7459,"CPA PASSED  t=5.340s  min_dist=0.75m  pos=(4932, 1861, 10000m)",1202413558
NDI,19,0.7429,"CPA PASSED  t=5.338s  min_dist=0.74m  pos=(4932, 1862, 10000m)",2008052739
NDI,20,4.5643,"CPA PASSED  t=5.353s  min_dist=4.56m  pos=(4931, 1860, 9999m)",595598246
NDI,21,6.3675,"CPA PASSED  t=5.346s  min_dist=6.37m  pos=(4933, 1857, 10000m)",1752032166
NDI,22,0.9858,"CPA PASSED  t=5.347s  min_dist=0.99m  pos=(4930, 1862, 9999m)",1440696408
NDI,23,8.0723,"CPA PASSED  t=5.358s  min_dist=8.07m  pos=(4932, 1857, 9999m)",5880884
NDI,24,1.2994,"CPA PASSED  t=5.349s  min_dist=1.30m  pos=(4931, 1862, 10000m)",846428920
