variant,run,miss_dist,result,ins_seed
NDI-CoP,0,3.1042,"CPA PASSED  t=5.345s  min_dist=3.10m  pos=(4932, 1860, 10000m)",1826701615
NDI-CoP,1,0.3795,"CPA PASSED  t=5.337s  min_dist=0.38m  pos=(4933, 1861, 10000m)",1367864807
NDI-CoP,2,2.0478,"CPA PASSED  t=5.325s  min_dist=2.05m  pos=(4934, 1860, 10001m)",1097657232
NDI-CoP,3,0.7837,"CPA PASSED  t=5.343s  min_dist=0.78m  pos=(4932, 1862, 9999m)",579362556
NDI-CoP,4,0.7723,"CPA PASSED  t=5.345s  min_dist=0.77m  pos=(4931, 1862, 9999m)",661058652
NDI-CoP,5,1.0048,"CPA PASSED  t=5.343s  min_dist=1.00m  pos=(4932, 1863, 10000m)",87989972
NDI-CoP,6,0.8904,"CPA PASSED  t=5.345s  min_dist=0.89m  pos=(4930, 1862, 10001m)",161576974
NDI-CoP,7,1.4701,"CPA PASSED  t=5.351s  min_dist=1.47m  pos=(4931, 1863, 9999m)",35492827
NDI-CoP,8,2.2672,"CPA PASSED  t=5.346s  min_dist=2.27m  pos=(4932, 1861, 10000m)",376383645
NDI-CoP,9,0.7363,"CPA PASSED  t=5.335s  min_dist=0.74m  pos=(4933, 1860, 10001m)",1746484540
NDI-CoP,10,0.9419,"CPA PASSED  t=5.327s  min_dist=0.94m  pos=(4934, 1860, 10000m)",1394609703
NDI-CoP,11,0.4960,"CPA PASSED  t=5.334s  min_dist=0.50m  pos=(4934, 1860, 10000m)",1960127676
NDI-CoP,12,0.6535,"CPA PASSED  t=5.330s  min_dist=0.65m  pos=(4935, 1860, 10000m)",1081530687
NDI-CoP,13,0.5053,"CPA PASSED  t=5.325s  min_dist=0.51m  pos=(4935, 1858, 10000m)",1302740408
NDI-CoP,14,0.5979,"CPA PASSED  t=5.335s  min_dist=0.60m  pos=(4933, 1860, 10000m)",2084654370
NDI-CoP,15,0.9426,"CPA PASSED  t=5.335s  min_dist=0.94m  pos=(4934, 1860, 10000m)",1566581935
NDI-CoP,16,0.0984,"CPA PASSED  t=5.331s  min_dist=0.10m  pos=(4934, 1860, 10000m)",1357791199
NDI-CoP,17,0.9712,"CPA PASSED  t=5.330s  min_dist=0.97m  pos=(4933, 1860, 10001m)",1167425779
NDI-CoP,18,0.9886,"CPA PASSED  t=5.338s  min_dist=0.99m  pos=(4932, 1862, 10000m)",1202413558
NDI-CoP,19,0.3872,"CPA PASSED  t=5.335s  min_dist=0.39m  pos=(4933, 1860, 10000m)",2008052739
NDI-CoP,20,1.9549,"CPA PASSED  t=5.352s  min_dist=1.95m  pos=(4931, 1862, 10000m)",595598246
NDI-CoP,21,4.0820,"CPA PASSED  t=5.346s  min_dist=4.08m  pos=(4933, 1859, 10000m)",1752032166
NDI-CoP,22,0.9677,"CPA PASSED  t=5.345s  min_dist=0.97m  pos=(4931, 1863, 9999m)",1440696408
NDI-CoP,23,4.5767,"CPA PASSED  t=5.359s  min_dist=4.58m  pos=(4931, 1861, 9999m)",5880884
NDI-CoP,24,0.2517,"CPA PASSED  t=5.346s  min_dist=0.25m  pos=(4931, 1863, 10000m)",846428920
