variant,n_runs,aero_sigma,mean,std,min,max,cep,p90,p95,pk5,pk10,pk20
NDI,25,0.15,1.8439,1.8765,0.5705,8.0723,0.9858,4.1238,6.0068,92.0000,100.0000,100.0000
NDI-CoP,25,0.15,1.2749,1.1273,0.0984,4.5767,0.9419,2.7694,3.8864,100.0000,100.0000,100.0000
