variant,run,miss_dist,result,ins_seed
NDI,0,12.3658,"CPA PASSED  t=5.212s  min_dist=12.37m  pos=(4961, 1534, 10043m)",1826701615
NDI,1,5.1747,"CPA PASSED  t=5.212s  min_dist=5.17m  pos=(4959, 1542, 10042m)",1367864807
NDI,2,5.1069,"CPA PASSED  t=5.213s  min_dist=5.11m  pos=(4958, 1545, 10041m)",1097657232
NDI,3,7.7462,"CPA PASSED  t=5.212s  min_dist=7.75m  pos=(4959, 1541, 10040m)",579362556
NDI,4,9.7755,"CPA PASSED  t=5.212s  min_dist=9.78m  pos=(4960, 1537, 10043m)",661058652
NDI,5,8.3509,"CPA PASSED  t=5.213s  min_dist=8.35m  pos=(4960, 1539, 10043m)",87989972
NDI,6,10.5505,"CPA PASSED  t=5.213s  min_dist=10.55m  pos=(4960, 1539, 10038m)",161576974
NDI,7,14.4950,"CPA PASSED  t=5.212s  min_dist=14.49m  pos=(4961, 1534, 10039m)",35492827
NDI,8,10.5561,"CPA PASSED  t=5.213s  min_dist=10.56m  pos=(4960, 1539, 10039m)",376383645
NDI,9,5.1918,"CPA PASSED  t=5.213s  min_dist=5.19m  pos=(4959, 1541, 10044m)",1746484540
NDI,10,3.4842,"CPA PASSED  t=5.217s  min_dist=3.48m  pos=(4957, 1543, 10045m)",1394609703
NDI,11,6.7883,"CPA PASSED  t=5.214s  min_dist=6.79m  pos=(4959, 1540, 10043m)",1960127676
NDI,12,6.3775,"CPA PASSED  t=5.214s  min_dist=6.38m  pos=(4958, 1544, 10040m)",1081530687
NDI,13,10.0524,"CPA PASSED  t=5.214s  min_dist=10.05m  pos=(4958, 1544, 10036m)",1302740408
NDI,14,5.0483,"CPA PASSED  t=5.212s  min_dist=5.05m  pos=(4959, 1542, 10043m)",2084654370
NDI,15,6.2766,"CPA PASSED  t=5.214s  min_dist=6.28m  pos=(4959, 1540, 10044m)",1566581935
NDI,16,11.6678,"CPA PASSED  t=5.214s  min_dist=11.67m  pos=(4959, 1542, 10035m)",1357791199
NDI,17,4.8089,"CPA PASSED  t=5.215s  min_dist=4.81m  pos=(4959, 1542, 10045m)",1167425779
NDI,18,7.5104,"CPA PASSED  t=5.213s  min_dist=7.51m  pos=(4960, 1539, 10043m)",1202413558
NDI,19,6.9585,"CPA PASSED  t=5.212s  min_dist=6.96m  pos=(4958, 1543, 10040m)",2008052739
NDI,20,11.8080,"CPA PASSED  t=5.213s  min_dist=11.81m  pos=(4961, 1536, 10040m)",595598246
NDI,21,14.7248,"CPA PASSED  t=5.213s  min_dist=14.72m  pos=(4962, 1533, 10040m)",1752032166
NDI,22,9.8112,"CPA PASSED  t=5.213s  min_dist=9.81m  pos=(4960, 1539, 10040m)",1440696408
NDI,23,17.8608,"CPA PASSED  t=5.212s  min_dist=17.86m  pos=(4962, 1530, 10039m)",5880884
NDI,24,8.1137,"CPA PASSED  t=5.213s  min_dist=8.11m  pos=(4960, 1539, 10042m)",846428920
INDI,0,2.7971,"CPA PASSED  t=5.215s  min_dist=2.80m  pos=(4958, 1543, 10046m)",1826701615
INDI,1,2.1012,"CPA PASSED  t=5.214s  min_dist=2.10m  pos=(4958, 1544, 10045m)",1367864807
INDI,2,1.0796,"CPA PASSED  t=5.216s  min_dist=1.08m  pos=(4957, 1545, 10045m)",1097657232
INDI,3,4.2988,"CPA PASSED  t=5.214s  min_dist=4.30m  pos=(4959, 1542, 10045m)",579362556
INDI,4,3.1156,"CPA PASSED  t=5.215s  min_dist=3.12m  pos=(4958, 1543, 10045m)",661058652
INDI,5,3.4818,"CPA PASSED  t=5.215s  min_dist=3.48m  pos=(4958, 1543, 10044m)",87989972
INDI,6,6.0751,"CPA PASSED  t=5.215s  min_dist=6.08m  pos=(4959, 1542, 10042m)",161576974
INDI,7,3.0217,"CPA PASSED  t=5.215s  min_dist=3.02m  pos=(4958, 1543, 10045m)",35492827
INDI,8,6.3462,"CPA PASSED  t=5.215s  min_dist=6.35m  pos=(4959, 1542, 10042m)",376383645
INDI,9,1.7903,"CPA PASSED  t=5.215s  min_dist=1.79m  pos=(4958, 1545, 10046m)",1746484540
INDI,10,0.8581,"CPA PASSED  t=5.218s  min_dist=0.86m  pos=(4956, 1546, 10045m)",1394609703
INDI,11,3.4955,"CPA PASSED  t=5.216s  min_dist=3.50m  pos=(4957, 1545, 10043m)",1960127676
INDI,12,1.0540,"CPA PASSED  t=5.217s  min_dist=1.05m  pos=(4957, 1546, 10045m)",1081530687
INDI,13,1.3472,"CPA PASSED  t=5.218s  min_dist=1.35m  pos=(4957, 1545, 10046m)",1302740408
INDI,14,2.2942,"CPA PASSED  t=5.214s  min_dist=2.29m  pos=(4958, 1544, 10045m)",2084654370
INDI,15,0.8972,"CPA PASSED  t=5.216s  min_dist=0.90m  pos=(4957, 1545, 10046m)",1566581935
INDI,16,1.6878,"CPA PASSED  t=5.218s  min_dist=1.69m  pos=(4957, 1547, 10045m)",1357791199
INDI,17,0.6985,"CPA PASSED  t=5.216s  min_dist=0.70m  pos=(4956, 1546, 10046m)",1167425779
INDI,18,1.4335,"CPA PASSED  t=5.215s  min_dist=1.43m  pos=(4957, 1545, 10045m)",1202413558
INDI,19,1.6657,"CPA PASSED  t=5.215s  min_dist=1.67m  pos=(4958, 1545, 10045m)",2008052739
INDI,20,4.1924,"CPA PASSED  t=5.215s  min_dist=4.19m  pos=(4959, 1543, 10044m)",595598246
INDI,21,2.4778,"CPA PASSED  t=5.216s  min_dist=2.48m  pos=(4957, 1545, 10044m)",1752032166
INDI,22,3.8883,"CPA PASSED  t=5.215s  min_dist=3.89m  pos=(4958, 1543, 10044m)",1440696408
INDI,23,4.5237,"CPA PASSED  t=5.214s  min_dist=4.52m  pos=(4958, 1542, 10044m)",5880884
INDI,24,3.7328,"CPA PASSED  t=5.214s  min_dist=3.73m  pos=(4958, 1543, 10044m)",846428920
