variant,n_runs,aero_sigma,mean,std,min,max,cep,p90,p95,pk5,pk10,pk20
NDI,50,0.15,0.6553,0.2827,0.0604,1.2312,0.6669,1.0202,1.0716,100.0000,100.0000,100.0000
INDI,50,0.15,0.6657,0.2784,0.1308,1.4084,0.6230,1.0118,1.1283,100.0000,100.0000,100.0000
