t,maut,mins,mseek,mguid,sbel1,sbel2,hbe,stel1,stel2,stel_hbe,sbelc1,sbelc2,hbem,dvbe,dvbec,mach,pdynmc,psivlx,thtvlx,alphax,betax,alppx,alphaxc,betaxc,psiblx,thtblx,phiblx,psivlcx,thtvlcx,phiblcx,ppx,qqx,rrx,wbeb_p,wbeb_q,wbeb_r,fspb1,fspb2,fspb3,fspcb1,fspcb2,fspcb3,dpcx,dqcx,drcx,dpx,dqx,drx,delcx1,delcx2,delcx3,delcx4,delx1,delx2,delx3,delx4,thrust,mass,xcg,anx,ayx,ancomx,alcomx,an_cmd_mag,an_ach_mag,tr_err_n,tr_err_l,tr_err_mag,dtbc,tgoc,esttc1,esttc2,esttc3,evbe1,evbe2,evbe3,rece1x,rece2x,rece3x,psipbx,thtpbx,sigdpy,sigdpz
0.0,5,1,0,30,0.1249995563048317,0.0,9999.9999975583,6000.0,1500.0,10000.0,-1.2041934025558997e-12,9.365060335315579e-10,10000.0,249.99911265735875,249.9999999975916,0.8348197556304093,12.896836186773413,0.0,-0.001119196934175424,0.0,0.0,0.0008102847180697748,1.2887850221851524e-06,-5.036268288448736e-08,0.0008102847180697748,-0.0,0.0008102847180697748,4.292627456832987e-07,4.617254669376779e-07,-6.37809269772936e-07,0.0,-1.0522316378977807e-05,0.0,0.0,-1.052231637657525e-05,0.0,-1.7747806731810092,0.0,-0.0005116306159485474,-1.7747806731810092,0.0,-0.0005116306159485474,-5.024979972071897e-05,-0.004448069010527373,-28,0.0,0.0,0.0,27.995602180789195,-28.004397819210805,27.99550168118975,-28.00449831881025,0.0,0.0,0.0,0.0,0.0,91.9563,1.5357,5.238167615897807e-05,0.0,-6.865919693572086e-08,3.0485633082882355,3.0485633082882364,5.238167615897807e-05,-5.245033535591379e-05,3.0485633082882355,3.048563308739438,6184.537171118727,14.166666652000147,-1.2041934025558997e-12,9.365060335315579e-10,-1.007328704786633e-09,-2.4083868051117996e-09,1.8730120670631155e-06,-2.0146574095732663e-06,6.378092696273053e-07,-1.75051048394464e-06,-4.79625433598142e-07,0.0,0.0,0.0,0.0
0.010000000000000002,5,1,0,30,2.626520371415945,-4.1414322791528445e-05,9999.999460619352,5998.000000000002,1500.0000058251082,10000.000534307997,2.3761336355857257,-2.8655292668631367e-05,9999.999558221098,250.42370532387093,250.34960351270735,0.8359872633889105,12.932935117463007,-0.003185192345278997,-0.02344644564732774,0.021217592036044865,-0.003981516096596786,0.021587929065965156,0.021212925702702147,-0.00468800244234847,0.0020036026611873195,-5.486178094647308e-06,-0.0008102847180697748,-0.002490000044411449,-0.021214341241712505,8.801412865472343e-06,0.0,-0.002192248225557013,1.0347835262830851,0.0,-0.002192248225056458,1.0347835260468135,77.52693007657282,-2.2001103610232167,-0.014267711949488622,77.52693007657282,-2.2001103610232167,-0.014267711949488622,3.5465668703626563e-06,-0.6139474209469149,-28,0.0,0.0,-5.999999999999999,27.386049032486216,-28.613950967513784,27.386056125619955,-28.613943874380045,5.999999999999999,-5.999999999999999,5.999999999999999,-5.999999999999999,7288.709461062353,91.77214,1.5353400000000001,0.0014607543869882167,-0.22525131381265948,0.005462796672480013,3.057581840186531,3.0575867202069573,0.2252560502577196,0.004002042285491797,3.2828331539991904,3.282835593406823,6180.170167718137,14.146658324195503,-8.739992643634109e-08,3.2127815834323296e-07,-1.864857807079805e-07,-2.6775780627949496e-05,7.40596501082968e-05,-3.1220540108997345e-05,-8.80137060995158e-06,-4.070185574388728e-06,-1.8647859417284893e-06,0.0,0.0,0.0,0.0
0.02000000000000001,5,1,0,30,5.135791286542475,-0.0003976225006721923,9999.9979485522,5996.000000000004,1500.00004695289,10000.002018524283,4.884317630346834,-0.0003359937115087155,9999.99814359282,251.5446268460749,251.40132450166874,0.8394995017908834,13.041836659656429,-0.014393159113448847,-0.045534310991675334,0.04329872781980536,-0.03389817954851089,0.05498969166190299,0.04327527330885269,-0.0377789817206475,0.02397295194111301,-5.020604621712684e-05,-0.0008102847180697748,-0.01286581896280183,-0.04333270542404803,2.283142576618868e-05,0.0,-0.008747951077668773,4.629448001047554,0.0,-0.008747951075671357,4.629447999990514,146.63856383398712,-4.6839291070991,-0.028934051363790576,146.63856383398712,-4.6839291070991,-0.028934051363790576,0.00017719190290233175,-1.1997740813475095,-25.045855708066426,0.0,0.0,-11.999999999999996,23.845904434816013,-26.24580698131684,23.84625881862182,-26.245452597511033,11.999999999999996,-11.999999999999996,11.999999999999996,-11.999999999999996,13641.309389495158,91.58798,1.53498,0.0029623209799799154,-0.47954920962304154,0.01100953002123828,3.0775555868581077,3.077575279331578,0.47955835911354133,0.008047209041258364,3.5571047964811493,3.5571138990370486,6175.795924493206,14.104735126489642,-7.101583612538874e-07,1.701269839002389e-06,-5.525666366365129e-07,-0.00010633711042713087,0.00021265502149917596,-3.83997959595093e-05,-2.284587792453116e-05,7.2406103370017376e-06,-1.6497922566259734e-06,0.0,0.0,0.0,0.0
0.03000000000000002,5,1,0,30,7.6597263301953085,-0.0014229917315383412,9999.995462999917,5994.0000000000055,1500.0001586809346,10000.00442161059,7.406473599091504,-0.001275632425764676,9999.995755317606,253.35670506361404,253.14416059151642,0.8453197279677026,13.223305730196568,-0.0333678833301489,-0.06720636057627691,0.06490121507817363,-0.11542833825795279,0.1324230466841797,0.06487453062907422,-0.1250838606888307,0.09198748615104711,-0.000178302438317891,-0.0008102847180697748,-0.031046848015522082,-0.06505620390461718,3.927378361521833e-05,7.774331610274097e-07,-0.019267767045243616,10.856934649012326,7.774331608498989e-07,-0.019267767040844215,10.856934646533366,215.72234812856104,-7.2283832707629765,-0.03406590601340476,215.72234812856104,-7.2283832707629765,-0.03406590601340476,1.3570938653708234e-05,-1.737962134521172,-19.04388023809098,5.732953395565232e-06,-0.10444782236535843,-17.89555217763464,17.305904532631157,-20.781855943550806,17.305931674508464,-20.781828801673498,17.791092889362492,-18.0,17.791115821176074,-18.0,19993.909268670344,91.40382,1.53462,0.003487729621450987,-0.7400550696852314,0.016522598452318467,3.1087170515158107,3.108760959392789,0.7400632881211748,0.01303486883086748,3.848772121201042,3.8487941941262336,6171.40783105945,14.041830486466624,-2.3881529425334898e-06,4.7910274827072445e-06,-8.815456392837686e-07,-0.0002378492791885581,0.0004158729732143571,-2.385878839546083e-05,-3.9429272336699265e-05,3.546909096024061e-06,5.477534326437453e-06,0.0,0.0,0.0,0.0
0.04000000000000003,5,1,0,30,10.205239886435578,-0.0034250870515073013,9999.991988117166,5992.000000000007,1500.000376296666,10000.007712230958,9.949513791376821,-0.0031684291388953288,9999.992382487178,255.86193316484545,255.57939105567806,0.8534522176225383,13.478969067019575,-0.05622333367821405,-0.08950975500611533,0.08745804810337994,-0.2711667459331863,0.28492149299247455,0.08773234959977004,-0.2886776150988103,0.231288034454909,0.0005071045373615448,0.0008102847180697748,-0.05404543092617612,-0.08721371486164092,7.908879611283363e-05,0.00033126586664502096,0.3642956659960552,18.81265248773751,0.00033126586656938317,0.3642956659128757,18.812652483442026,285.5848939506813,-6.987631842283338,0.6252352712248259,285.5848939506813,-6.987631842283338,0.6252352712248259,0.00012000950939999687,-1.7591559489359403,-11.335548722441267,0.00010713547564211723,-1.5915742107731496,-16.054517182334862,9.576272763995927,-13.094824680886607,9.576512783014726,-13.094584661867808,14.462844697449617,-17.6462073899472,14.463041245673805,-17.64597539626882,26346.509098036004,91.21966,1.53426,-0.06401272793584245,-0.7154064983564737,0.022168295772904675,3.1513136018405175,3.1513915736516354,0.7182646359305597,0.08618102370874713,3.866720100196991,3.867680377450406,6166.999266785673,13.958320997551848,-5.644267259774596e-06,1.0238744054171053e-05,-9.592568831474886e-07,-0.00042256584784335256,0.000685660333486174,1.1774302062235836e-05,-7.864577375277639e-05,-1.0347005459339125e-05,1.3522064564163883e-05,0.0,0.0,0.0,0.0
0.05000000000000004,5,1,0,30,12.77932606466861,-0.006302807629248658,9999.98745640677,5990.000000000009,1500.0007350722597,10000.01185876186,12.520418702915302,-0.0059704890138744925,9999.98795763845,259.0735510653562,258.71978043659556,0.8639396119353605,13.812278370230208,-0.06977607650067585,-0.1120299557348171,0.11581034931590141,-0.4938917587594541,0.5072876641343915,0.11681608890526249,-0.5177542322326949,0.4448533488471982,0.006944317808355148,0.0008102847180697748,-0.06877177291664253,-0.10983674068532119,0.00014835327780649907,0.0009986126316526677,1.0651342736135325,24.863272924328417,0.0009986126314246548,1.0651342733703308,24.863272918651397,356.5489535353849,-4.3801187272272095,0.6243546545626153,356.5489535353849,-4.3801187272272095,0.6243546545626153,5.982620634303785e-05,-1.4736713832903796,-5.446724769980717,0.00010713547564211723,-1.5915742107731479,-10.054517182334862,3.9729935604839945,-6.92045597947744,3.9731132128966804,-6.920336327064754,8.46284469744962,-11.6462073899472,8.463041245673809,-11.64597539626882,32699.10887417903,91.0355,1.5339,-0.06392256870654807,-0.448444547082238,0.02807120109067024,3.2043114783645494,3.204434434141145,0.452977490166826,0.09199376979721831,3.6527560254467875,3.653914262146735,6162.563435714453,13.854067757056427,-1.1037519128942178e-05,1.877849740850664e-05,-5.720076120262592e-07,-0.0006660797320216902,0.0010362546371398443,6.946989982077472e-05,-0.00012936515813706862,-3.0223645477719677e-05,2.8746162422238743e-05,0.0,0.0,0.0,0.0
0.060000000000000046,5,1,0,30,15.387921609443795,-0.009545655285129039,9999.9818588852,5988.000000000011,1500.001270259565,10000.01682930247,15.12543217554227,-0.009189987636992494,9999.982466391486,262.65053285613567,262.29098533328624,0.8758657335157606,14.196261319703776,-0.07059494990943303,-0.1336775846745459,0.15033276069883517,-0.7564005680123143,0.7711941683359308,0.15209062576322593,-0.7839312748266456,0.7089907847700436,0.020440731041307152,0.0008102847180697748,-0.07076839883598743,-0.13158193822439446,0.0002878272251377001,0.0016877762345049395,1.778243512524827,28.216261274501154,0.0016877762341195703,1.7782435121188014,28.216261268058545,358.61040657063023,-1.5938109412342543,0.6067294811445508,358.61040657063023,-1.5938109412342543,0.6067294811445508,0.00015849475770346338,-1.0963123670831778,-2.239438004856837,0.00011665816419692554,-1.5209241661565809,-4.130222522986668,1.1429671430159558,-3.335908866697718,1.1432841325313625,-3.3355918771823116,2.609184359704058,-5.651266008345614,2.6094123539561167,-5.651027369940885,32822.21361920295,90.94022602739726,1.53265799086758,-0.062118071187028986,-0.16317727188645983,0.03408435279734937,3.2632216899090696,3.263399690598536,0.1746009072951926,0.09620242398437837,3.4263989617955293,3.427749225333433,6158.094468910115,13.737945617663803,-1.910355738920588e-05,3.115683401283323e-05,4.804288465204814e-07,-0.0009484664202735839,0.001441548838133145,0.00014120338079723458,-0.000194538659890355,-5.414518750852358e-05,4.1685750178307527e-05,0.0,0.0,0.0,0.0
0.07000000000000005,5,1,0,30,18.032381308573385,-0.01259158155070223,9999.975211580131,5986.000000000013,1500.0020170850278,10000.02259168499,17.76628629909563,-0.012262388533046136,9999.975922259722,266.2462394238864,265.8846798403638,0.8878669593668527,14.58797928654152,-0.059914101530258446,-0.1540161595946134,0.19053672745498415,-1.032664005549707,1.050092977657434,0.19293892360827972,-1.0613152906405596,0.996644485708168,0.040719732229744544,0.0008102847180697748,-0.06094771806582272,-0.15211101585643988,0.0005314947887261327,0.0024513818149067895,2.341949997893972,29.168761618761962,0.002451381814347066,2.3419499973592357,29.16876161210187,360.3687134269319,0.1166876400255884,0.30478126305529457,360.3687134269319,0.1166876400255884,0.30478126305529457,-2.4797696616628863e-05,-0.8056732140873804,-1.3544071795085164,8.794300031222946e-05,-0.9078625044875318,-1.3208401277098354,0.5487587631177527,-2.16005559589928,0.5487091677245194,-2.1601051912925135,0.41288840951834005,-2.228789304494028,0.4130668369262672,-2.2286159599007065,32945.31831096022,90.84495205479452,1.5314159817351598,-0.031204061685674224,0.011946693444385462,0.040112819461723445,3.3220532444947577,3.322295410938545,0.03341282612916011,0.07131688114739768,3.310106551050372,3.3108747298626664,6153.590929384857,13.622495374099508,-3.0028577485707814e-05,4.764312983787613e-05,2.2533107791062327e-06,-0.0012374553474183223,0.0018569005925032486,0.0002135017639654571,-0.00026634329673811275,-7.693812892310559e-05,5.842781836299507e-05,0.0,0.0,0.0,0.0
0.08000000000000006,5,1,0,30,20.71287832859535,-0.015013559483938916,9999.967561594967,5984.000000000015,1500.0030107446185,10000.029113485065,20.443158526265744,-0.014738657630794636,9999.968370484941,269.8581791541909,269.4947433568936,0.8999228439017647,14.986851469949084,-0.04295297674317571,-0.17276683146493454,0.23396103682990838,-1.3085618402687593,1.32930897048958,0.2367635554717859,-1.3373666522976966,1.2898886902361066,0.06559658080641476,0.0008102847180697748,-0.044352201717702384,-0.17100865358658005,0.000900964541291301,0.0026902583463075625,2.6841183908599207,29.389445229262936,0.002690258345693297,2.684118390247057,29.389445222552457,361.9942345631515,0.4219704149133771,0.16031171689524187,361.9942345631515,0.4219704149133771,0.16031171689524187,4.3439014780022037e-05,-0.6320199458891699,-1.2505325861598455,-3.478931366379667e-05,-0.6931522900863676,-1.237879711820885,0.6184692012558957,-1.8825959710637954,0.6185560792854556,-1.8825090930342354,0.544762372861656,-1.9309973744070634,0.5446924706073791,-1.931066629407442,33068.42295173955,90.74967808219178,1.5301739726027397,-0.016413005973404185,0.04320210072417147,0.0460563936272299,3.3810254171072507,3.3813390930989464,0.04621480576681524,0.062469399600634086,3.337823316383079,3.3384078416629985,6149.0525589328,13.508058502970679,-4.386747843941738e-05,6.83056663033819e-05,4.749945861753089e-06,-0.0015309426049117758,0.0022757355112271965,0.00028577144201920323,-0.00033868857558911003,-9.844241192201088e-05,7.1810477096845e-05,0.0,0.0,0.0,0.0
0.09000000000000007,5,1,0,30,23.42957140524666,-0.016566433639367762,9999.958947858415,5982.000000000016,1500.004286398764,10000.036362032304,23.156208152075905,-0.016363213996826803,9999.959851694166,273.4858457538864,273.1205469577423,0.9120312840472671,15.392880160035435,-0.02193225184510176,-0.19033305815889395,0.2793342286621771,-1.5823493370540527,1.6068096331724762,0.2824488329438508,-1.6112256410930679,1.584963076418399,0.09351235925918903,0.0008102847180697748,-0.02365090697773289,-0.1887051154066544,0.0014066429307671526,0.0021282065904174316,2.9384063242614236,29.547147170369048,0.0021282065899314987,2.9384063235904985,29.54714716362256,363.61295752117445,0.6558930991578519,0.05519028940071782,363.61295752117445,0.6558930991578519,0.05519028940071782,-0.00015906377778245154,-0.48525230877854864,-1.2118437881260409,-0.00014514049959746256,-0.5495261321806982,-1.2311868471638294,0.7267505431252748,-1.696937033126807,0.7264324155697097,-1.697255160682372,0.6818058659018741,-1.7805678492640755,0.6815155640643881,-1.7808581094249796,33191.52754359617,90.65440410958904,1.5289319634703196,-0.005650482477109744,0.06715153161708994,0.05194099296146572,3.440375414165019,3.4407674808305413,0.06738884292481326,0.057591475438575464,3.3732238825479293,3.3737154799767746,6144.479157540455,13.39472812138902,-6.0659579713386964e-05,9.315874957842573e-05,7.968820678996383e-06,-0.0018280805882393927,0.0026949398132982867,0.000357879148816302,-0.00040977800531858945,-0.00012867703292512758,8.507910023225945e-05,0.0,0.0,0.0,0.0
