variant,run,miss_dist,result,ins_seed
Accel,0,3.7431,"CPA PASSED  t=5.313s  min_dist=3.74m  pos=(4937, 1801, 10093m)",1826701615
Accel,1,2.7062,"CPA PASSED  t=5.320s  min_dist=2.71m  pos=(4936, 1802, 10092m)",1367864807
Accel,2,3.2818,"CPA PASSED  t=5.324s  min_dist=3.28m  pos=(4935, 1803, 10093m)",1097657232
Accel,3,1.7064,"CPA PASSED  t=5.324s  min_dist=1.71m  pos=(4935, 1802, 10091m)",579362556
Accel,4,1.4926,"CPA PASSED  t=5.324s  min_dist=1.49m  pos=(4936, 1803, 10091m)",661058652
Accel,5,1.5424,"CPA PASSED  t=5.317s  min_dist=1.54m  pos=(4937, 1802, 10091m)",87989972
Accel,6,2.3657,"CPA PASSED  t=5.312s  min_dist=2.37m  pos=(4938, 1801, 10091m)",161576974
Accel,7,1.3394,"CPA PASSED  t=5.313s  min_dist=1.34m  pos=(4938, 1801, 10090m)",35492827
Accel,8,2.8479,"CPA PASSED  t=5.317s  min_dist=2.85m  pos=(4937, 1802, 10092m)",376383645
Accel,9,0.8943,"CPA PASSED  t=5.308s  min_dist=0.89m  pos=(4938, 1800, 10089m)",1746484540
NDI,0,0.9522,"CPA PASSED  t=5.321s  min_dist=0.95m  pos=(4936, 1802, 10090m)",1826701615
NDI,1,0.9961,"CPA PASSED  t=5.334s  min_dist=1.00m  pos=(4934, 1803, 10091m)",1367864807
NDI,2,8.3508,"CPA PASSED  t=5.337s  min_dist=8.35m  pos=(4936, 1797, 10088m)",1097657232
NDI,3,9.3113,"CPA PASSED  t=5.335s  min_dist=9.31m  pos=(4937, 1796, 10088m)",579362556
NDI,4,14.1122,"CPA PASSED  t=5.332s  min_dist=14.11m  pos=(4939, 1791, 10088m)",661058652
NDI,5,0.5991,"CPA PASSED  t=5.325s  min_dist=0.60m  pos=(4935, 1803, 10090m)",87989972
NDI,6,4.8990,"CPA PASSED  t=5.321s  min_dist=4.90m  pos=(4936, 1802, 10094m)",161576974
NDI,7,0.3605,"CPA PASSED  t=5.319s  min_dist=0.36m  pos=(4936, 1802, 10090m)",35492827
NDI,8,0.4236,"CPA PASSED  t=5.326s  min_dist=0.42m  pos=(4935, 1803, 10090m)",376383645
NDI,9,4.7619,"CPA PASSED  t=5.316s  min_dist=4.76m  pos=(4936, 1803, 10094m)",1746484540
INDI,0,0.5251,"CPA PASSED  t=5.320s  min_dist=0.53m  pos=(4936, 1802, 10089m)",1826701615
INDI,1,1.7145,"CPA PASSED  t=5.335s  min_dist=1.71m  pos=(4933, 1802, 10091m)",1367864807
INDI,2,1.4019,"CPA PASSED  t=5.341s  min_dist=1.40m  pos=(4932, 1804, 10090m)",1097657232
INDI,3,0.9350,"CPA PASSED  t=5.336s  min_dist=0.94m  pos=(4934, 1804, 10090m)",579362556
INDI,4,0.3238,"CPA PASSED  t=5.331s  min_dist=0.32m  pos=(4934, 1804, 10091m)",661058652
INDI,5,0.8161,"CPA PASSED  t=5.323s  min_dist=0.82m  pos=(4935, 1802, 10090m)",87989972
INDI,6,0.8169,"CPA PASSED  t=5.316s  min_dist=0.82m  pos=(4937, 1801, 10090m)",161576974
INDI,7,1.0638,"CPA PASSED  t=5.318s  min_dist=1.06m  pos=(4936, 1802, 10090m)",35492827
INDI,8,0.9849,"CPA PASSED  t=5.326s  min_dist=0.98m  pos=(4935, 1803, 10089m)",376383645
INDI,9,0.7133,"CPA PASSED  t=5.314s  min_dist=0.71m  pos=(4937, 1802, 10089m)",1746484540
