variant,n_runs,aero_sigma,mean,std,min,max,cep,p90,p95,pk5,pk10,pk20
NDI,25,0.15,8.8242,3.5241,3.4842,17.8608,8.1137,13.6433,14.6788,8.0000,64.0000,100.0000
INDI,25,0.15,2.7342,1.5452,0.6985,6.3462,2.4778,4.4338,5.7648,92.0000,100.0000,100.0000
